0,1,2,3,4,5
state,city,year,expense,budget type,budget
AK,Anchorage,2018,General Fund,gf18,"$515,738,214.00"
AK,Anchorage,2018,Police,p18,"$113,129,867.00"
AK,Anchorage,2019,General Fund,gf19,"$514,926,913.00"
AK,Anchorage,2019,Police,p19,"$118,480,224.00"
AK,Anchorage,2020,General Fund,gf20,"$529,958,470.00"
AK,Anchorage,2020,Police,p20,"$121,688,346.00"
AK,Anchorage,2021,General Fund,gf21,"$539,727,399.00"
AK,Anchorage,2021,Police,p21,"$123,411,491.00"
AK,Anchorage,2022,General Fund,gf22,"$539,876,440.00"
AK,Anchorage,2022,Police,p22,"$128,470,499.00"
AK,Anchorage,2023,General Fund,gf23,"$583,646,000.00"
AK,Anchorage,2023,Police,p23,"$135,722,400.00"
AK,Anchorage,2024,General Fund,,"$611,337,000.00"
AK,Anchorage,2024,Police,,"$139,724,000.00"
AK,Anchorage,2025,General Fund,,
AK,Anchorage,2025,Police,,
AK,Fairbanks,2018,General Fund,gf18,"$33,478,227.00"
AK,Fairbanks,2018,Police,p18,"$6,951,196.00"
AK,Fairbanks,2019,General Fund,gf19,"$34,739,899.00"
AK,Fairbanks,2019,Police,p19,"$7,057,012.00"
AK,Fairbanks,2020,General Fund,gf20,"$35,360,180.00"
AK,Fairbanks,2020,Police,p20,"$7,353,998.00"
AK,Fairbanks,2021,General Fund,gf21,"$35,679,256.00"
AK,Fairbanks,2021,Police,p21,"$7,344,706.00"
AK,Fairbanks,2022,General Fund,gf22,"$37,687,087.00"
AK,Fairbanks,2022,Police,p22,"$7,482,985.00"
AK,Fairbanks,2023,General Fund,gf23,"$43,266,904.00"
AK,Fairbanks,2023,Police,p23,"$8,222,585.00"
AK,Fairbanks,2024,General Fund,,"$46,093,007.00"
AK,Fairbanks,2024,Police,,"$8,515,530.00"
AK,Fairbanks,2025,General Fund,,
AK,Fairbanks,2025,Police,,
AK,Juneau,2018,General Fund,gf18,"$94,241,500.00"
AK,Juneau,2018,Police,p18,"$14,598,300.00"
AK,Juneau,2019,General Fund,gf19,"$96,830,700.00"
AK,Juneau,2019,Police,p19,"$15,658,000.00"
AK,Juneau,2020,General Fund,gf20,"$101,477,400.00"
AK,Juneau,2020,Police,p20,"$16,340,100.00"
AK,Juneau,2021,General Fund,gf21,"$103,686,200.00"
AK,Juneau,2021,Police,p21,"$17,666,000.00"
