state,city,lat,lon,x,y,use
AK,Anchorage,,,228,513,x
AK,Fairbanks,,,230,487,x
AK,Juneau,,,282,522,x
AL,Anniston,,,759,367,
AL,Auburn,,,765,383,
AL,Birmingham,,,740,365,x
AL,Dothan,,,774,412,
AL,Gadsden,,,756,356,x
AL,Huntsville,,,743,348,x
AL,Mobile,,,730,432,x
AL,Montgomery,,,756,388,x
AL,Opelika,,,768,384,
AR,Bentonville,,,,,
AR,Conway,,,,,
AR,Fort Smith,,,,,
AR,Jonesboro,,,674,332,x
AR,Little Rock,,,647,356,x
AZ,Flagstaff,,,343,340,x
AZ,Holbrook,,,,,
AZ,Kingman,,,,,
AZ,Nogales,,,,,
AZ,Phoenix,,,320,371,x
AZ,Prescott,,,,,
AZ,Scottsdale,,,,,
AZ,Sierra Vista,,,,,
AZ,Tempe,,,,,
AZ,Tucson,,,336,403,x
AZ,Yuma,,,276,383,x
CA,Arcata,,,,,
CA,Bakersfield,,,217,317,x
CA,Belvedere,,,,,
CA,Beverly Hills,,,,,
CA,Burbank,,,,,
CA,Chico,,,,,
CA,Chino,,,,,
CA,Davis,,,,,
CA,El Centro,,,,,
CA,Eureka,,,157,185,x
CA,Fontana,,,,,
CA,Fremont,,,,,
CA,Fresno,,,215,285,x
CA,Huntington Beach,,,,,
CA,La Mesa,,,,,
CA,Los Angeles,,,210,344,x
CA,Madera,,,,,
CA,Manhattan Beach,,,,,
CA,Modesto,,,,,
CA,Montclair,,,,,
CA,Mountain View,,,,,
CA,Napa,,,166,247,
CA,Oakland,,,169,252,x
CA,Orange,,,,,
CA,Pasadena,,,,,
CA,Pomona,,,,,
CA,Redding,,,185,187,x
CA,Redondo Beach,,,,,
CA,Riverside,,,,,
CA,Sacramento,,,183,244,x
CA,Salinas,,,,,
CA,San Bernadino,,,,,
CA,San Diego,,,228,373,x
CA,San Francisco,,,165,258,x
CA,San Jose,,,169,267,x
CA,San Luis Obispo,,,179,309,x
CA,San Rafael,,,,,
CA,Santa Clarita,,,,,
CA,Santa Cruz,,,167,269,x
CA,Santa Monica,,,,,
CA,Santa Rosa,,,,,
CA,Temecula,,,,,
CA,Tiburon,,,,,
CA,Vallejo,,,,,
CA,Visalia,,,,,
CA,Willows,,,,,
CA,Yreka,,,,,
CO,Alamosa,,,,,
CO,Aspen,,,,,
CO,Aurora,,,,,
CO,Boulder,,,443,258,x
CO,Colorado Springs,,,448,278,x
CO,Denver,,,447,263,x
CO,Durango,,,,,
CO,Fort Collins,,,,,
CO,Glenwood Springs,,,,,
CO,Golden,,,,,
CO,Grand Junction,,,393,270,x
CO,Greeley,,,,,
CO,Ouray,,,,,
CT,Bridgeport,,,,,
CT,Hartford,,,929,153,x
CT,Middletown,,,,,
CT,New Haven,,,924,163,x
CT,New London,,,937,157,x
CT,Waterbury,,,,,
CT,Westport,,,,,
DC,Washington,,,880,230,x
DE,Dover,,,,,
DE,Newark,,,896,209,x
DE,Wilmington,,,897,207,x
FL,avon park,,,,,
FL,Boynton Beach,,,,,
FL,Clearwater,,,,,
FL,Coral Springs,,,,,
FL,Delray Beach,,,,,
FL,Fort Lauderdale,,,884,492,x
FL,Fort Walton Beach,,,,,
FL,Gainesville,,,830,431,x
FL,Hialeah,,,,,
